study_period,subject,femaleID,kin
m18,Aka,Ako,0.25
m18,Aka,Anz,0.5
m18,Aka,Coc,0
m18,Aka,Har,0
m18,Aka,Hen,0
m18,Aka,Hot,0
m18,Aka,Kil,0
m18,Aka,Kit,0
m18,Aka,Koh,0
m18,Aka,Kol,0
m18,Aka,Kun,0
m18,Aka,Kur,0
m18,Aka,Mal,0
m18,Aka,Mei,0
m18,Aka,Mif,0
m18,Aka,Mik,0
m18,Aka,Ntm,0
m18,Aka,Ntr,0
m18,Aka,Tam,0
m18,Aka,Ten,0
m18,Aka,Tot,0
m18,Aka,Trt,0
m18,Ako,Aka,0.25
m18,Ako,Anz,0.125
m18,Ako,Coc,0
m18,Ako,Har,0
m18,Ako,Hen,0
m18,Ako,Hot,0
m18,Ako,Kil,0
m18,Ako,Kit,0
m18,Ako,Koh,0
m18,Ako,Kol,0
m18,Ako,Kun,0
m18,Ako,Kur,0
m18,Ako,Mal,0
m18,Ako,Mei,0
m18,Ako,Mif,0
m18,Ako,Mik,0
m18,Ako,Ntm,0
m18,Ako,Ntr,0
m18,Ako,Tam,0
m18,Ako,Ten,0
m18,Ako,Tot,0
m18,Ako,Trt,0
m18,Hen,Aka,0
m18,Hen,Ako,0
m18,Hen,Anz,0
m18,Hen,Coc,0
m18,Hen,Har,0
m18,Hen,Hot,0
m18,Hen,Kil,0
m18,Hen,Kit,0
m18,Hen,Koh,0
m18,Hen,Kol,0
m18,Hen,Kun,0
m18,Hen,Kur,0
m18,Hen,Mal,0
m18,Hen,Mei,0
m18,Hen,Mif,0
m18,Hen,Mik,0
m18,Hen,Ntm,0
m18,Hen,Ntr,0
m18,Hen,Tam,0
m18,Hen,Ten,0
m18,Hen,Tot,0
m18,Hen,Trt,0
m18,Hot,Aka,0
m18,Hot,Ako,0
m18,Hot,Anz,0
m18,Hot,Coc,0
m18,Hot,Har,0.5
m18,Hot,Hen,0
m18,Hot,Kil,0
m18,Hot,Kit,0
m18,Hot,Koh,0
m18,Hot,Kol,0
m18,Hot,Kun,0
m18,Hot,Kur,0
m18,Hot,Mal,0
m18,Hot,Mei,0
m18,Hot,Mif,0
m18,Hot,Mik,0
m18,Hot,Ntm,0
m18,Hot,Ntr,0
m18,Hot,Tam,0
m18,Hot,Ten,0
m18,Hot,Tot,0
m18,Hot,Trt,0
m18,Kil,Aka,0
m18,Kil,Ako,0
m18,Kil,Anz,0
m18,Kil,Coc,0.125
m18,Kil,Har,0
m18,Kil,Hen,0
m18,Kil,Hot,0
m18,Kil,Kit,0.5
m18,Kil,Koh,0.25
m18,Kil,Kol,0.125
m18,Kil,Kun,0.125
m18,Kil,Kur,0.25
m18,Kil,Mal,0
m18,Kil,Mei,0
m18,Kil,Mif,0
m18,Kil,Mik,0
m18,Kil,Ntm,0
m18,Kil,Ntr,0
m18,Kil,Tam,0
m18,Kil,Ten,0
m18,Kil,Tot,0
m18,Kil,Trt,0
m18,Kit,Aka,0
m18,Kit,Ako,0
m18,Kit,Anz,0
m18,Kit,Coc,0.0625
m18,Kit,Har,0
m18,Kit,Hen,0
m18,Kit,Hot,0
m18,Kit,Kil,0.5
m18,Kit,Koh,0.125
m18,Kit,Kol,0.0625
m18,Kit,Kun,0.0625
m18,Kit,Kur,0.125
m18,Kit,Mal,0
m18,Kit,Mei,0
m18,Kit,Mif,0
m18,Kit,Mik,0
m18,Kit,Ntm,0
m18,Kit,Ntr,0
m18,Kit,Tam,0
m18,Kit,Ten,0
m18,Kit,Tot,0
m18,Kit,Trt,0
m18,Koh,Aka,0
m18,Koh,Ako,0
m18,Koh,Anz,0
m18,Koh,Coc,0.5
m18,Koh,Har,0
m18,Koh,Hen,0
m18,Koh,Hot,0
m18,Koh,Kil,0.25
m18,Koh,Kit,0.125
m18,Koh,Kol,0.125
m18,Koh,Kun,0.125
m18,Koh,Kur,0.25
m18,Koh,Mal,0
m18,Koh,Mei,0
m18,Koh,Mif,0
m18,Koh,Mik,0
m18,Koh,Ntm,0
m18,Koh,Ntr,0
m18,Koh,Tam,0
m18,Koh,Ten,0
m18,Koh,Tot,0
m18,Koh,Trt,0
m18,Kol,Aka,0
m18,Kol,Ako,0
m18,Kol,Anz,0
m18,Kol,Coc,0.0625
m18,Kol,Har,0
m18,Kol,Hen,0
m18,Kol,Hot,0
m18,Kol,Kil,0.125
m18,Kol,Kit,0.0625
m18,Kol,Koh,0.125
m18,Kol,Kun,0.25
m18,Kol,Kur,0.5
m18,Kol,Mal,0
m18,Kol,Mei,0
m18,Kol,Mif,0
m18,Kol,Mik,0
m18,Kol,Ntm,0
m18,Kol,Ntr,0
m18,Kol,Tam,0
m18,Kol,Ten,0
m18,Kol,Tot,0
m18,Kol,Trt,0
m18,Kun,Aka,0
m18,Kun,Ako,0
m18,Kun,Anz,0
m18,Kun,Coc,0.0625
m18,Kun,Har,0
m18,Kun,Hen,0
m18,Kun,Hot,0
m18,Kun,Kil,0.125
m18,Kun,Kit,0.0625
m18,Kun,Koh,0.125
m18,Kun,Kol,0.25
m18,Kun,Kur,0.5
m18,Kun,Mal,0
m18,Kun,Mei,0
m18,Kun,Mif,0
m18,Kun,Mik,0
m18,Kun,Ntm,0
m18,Kun,Ntr,0
m18,Kun,Tam,0
m18,Kun,Ten,0
m18,Kun,Tot,0
m18,Kun,Trt,0
m18,Kur,Aka,0
m18,Kur,Ako,0
m18,Kur,Anz,0
m18,Kur,Coc,0.125
m18,Kur,Har,0
m18,Kur,Hen,0
m18,Kur,Hot,0
m18,Kur,Kil,0.25
m18,Kur,Kit,0.125
m18,Kur,Koh,0.25
m18,Kur,Kol,0.5
m18,Kur,Kun,0.5
m18,Kur,Mal,0
m18,Kur,Mei,0
m18,Kur,Mif,0
m18,Kur,Mik,0
m18,Kur,Ntm,0
m18,Kur,Ntr,0
m18,Kur,Tam,0
m18,Kur,Ten,0
m18,Kur,Tot,0
m18,Kur,Trt,0
m18,Mal,Aka,0
m18,Mal,Ako,0
m18,Mal,Anz,0
m18,Mal,Coc,0
m18,Mal,Har,0
m18,Mal,Hen,0
m18,Mal,Hot,0
m18,Mal,Kil,0
m18,Mal,Kit,0
m18,Mal,Koh,0
m18,Mal,Kol,0
m18,Mal,Kun,0
m18,Mal,Kur,0
m18,Mal,Mei,0.125
m18,Mal,Mif,0.25
m18,Mal,Mik,0.5
m18,Mal,Ntm,0
m18,Mal,Ntr,0
m18,Mal,Tam,0
m18,Mal,Ten,0
m18,Mal,Tot,0
m18,Mal,Trt,0
m18,Mei,Aka,0
m18,Mei,Ako,0
m18,Mei,Anz,0
m18,Mei,Coc,0
m18,Mei,Har,0
m18,Mei,Hen,0
m18,Mei,Hot,0
m18,Mei,Kil,0
m18,Mei,Kit,0
m18,Mei,Koh,0
m18,Mei,Kol,0
m18,Mei,Kun,0
m18,Mei,Kur,0
m18,Mei,Mal,0.125
m18,Mei,Mif,0.125
m18,Mei,Mik,0.25
m18,Mei,Ntm,0
m18,Mei,Ntr,0
m18,Mei,Tam,0
m18,Mei,Ten,0
m18,Mei,Tot,0
m18,Mei,Trt,0
m18,Mif,Aka,0
m18,Mif,Ako,0
m18,Mif,Anz,0
m18,Mif,Coc,0
m18,Mif,Har,0
m18,Mif,Hen,0
m18,Mif,Hot,0
m18,Mif,Kil,0
m18,Mif,Kit,0
m18,Mif,Koh,0
m18,Mif,Kol,0
m18,Mif,Kun,0
m18,Mif,Kur,0
m18,Mif,Mal,0.25
m18,Mif,Mei,0.125
m18,Mif,Mik,0.5
m18,Mif,Ntm,0
m18,Mif,Ntr,0
m18,Mif,Tam,0
m18,Mif,Ten,0
m18,Mif,Tot,0
m18,Mif,Trt,0
m18,Mik,Aka,0
m18,Mik,Ako,0
m18,Mik,Anz,0
m18,Mik,Coc,0
m18,Mik,Har,0
m18,Mik,Hen,0
m18,Mik,Hot,0
m18,Mik,Kil,0
m18,Mik,Kit,0
m18,Mik,Koh,0
m18,Mik,Kol,0
m18,Mik,Kun,0
m18,Mik,Kur,0
m18,Mik,Mal,0.5
m18,Mik,Mei,0.25
m18,Mik,Mif,0.5
m18,Mik,Ntm,0
m18,Mik,Ntr,0
m18,Mik,Tam,0
m18,Mik,Ten,0
m18,Mik,Tot,0
m18,Mik,Trt,0
m18,Ntr,Aka,0
m18,Ntr,Ako,0
m18,Ntr,Anz,0
m18,Ntr,Coc,0
m18,Ntr,Har,0
m18,Ntr,Hen,0
m18,Ntr,Hot,0
m18,Ntr,Kil,0
m18,Ntr,Kit,0
m18,Ntr,Koh,0
m18,Ntr,Kol,0
m18,Ntr,Kun,0
m18,Ntr,Kur,0
m18,Ntr,Mal,0
m18,Ntr,Mei,0
m18,Ntr,Mif,0
m18,Ntr,Mik,0
m18,Ntr,Ntm,0.5
m18,Ntr,Tam,0
m18,Ntr,Ten,0
m18,Ntr,Tot,0
m18,Ntr,Trt,0
m18,Tam,Aka,0
m18,Tam,Ako,0
m18,Tam,Anz,0
m18,Tam,Coc,0
m18,Tam,Har,0
m18,Tam,Hen,0
m18,Tam,Hot,0
m18,Tam,Kil,0
m18,Tam,Kit,0
m18,Tam,Koh,0
m18,Tam,Kol,0
m18,Tam,Kun,0
m18,Tam,Kur,0
m18,Tam,Mal,0
m18,Tam,Mei,0
m18,Tam,Mif,0
m18,Tam,Mik,0
m18,Tam,Ntm,0
m18,Tam,Ntr,0
m18,Tam,Ten,0
m18,Tam,Tot,0.25
m18,Tam,Trt,0.0625
m18,Ten,Aka,0
m18,Ten,Ako,0
m18,Ten,Anz,0
m18,Ten,Coc,0
m18,Ten,Har,0
m18,Ten,Hen,0
m18,Ten,Hot,0
m18,Ten,Kil,0
m18,Ten,Kit,0
m18,Ten,Koh,0
m18,Ten,Kol,0
m18,Ten,Kun,0
m18,Ten,Kur,0
m18,Ten,Mal,0
m18,Ten,Mei,0
m18,Ten,Mif,0
m18,Ten,Mik,0
m18,Ten,Ntm,0
m18,Ten,Ntr,0
m18,Ten,Tam,0
m18,Ten,Tot,0
m18,Ten,Trt,0
m18,Tot,Aka,0
m18,Tot,Ako,0
m18,Tot,Anz,0
m18,Tot,Coc,0
m18,Tot,Har,0
m18,Tot,Hen,0
m18,Tot,Hot,0
m18,Tot,Kil,0
m18,Tot,Kit,0
m18,Tot,Koh,0
m18,Tot,Kol,0
m18,Tot,Kun,0
m18,Tot,Kur,0
m18,Tot,Mal,0
m18,Tot,Mei,0
m18,Tot,Mif,0
m18,Tot,Mik,0
m18,Tot,Ntm,0
m18,Tot,Ntr,0
m18,Tot,Tam,0.25
m18,Tot,Ten,0
m18,Tot,Trt,0.0625
m19,Aka,Ako,0.25
m19,Aka,Anz,0.5
m19,Aka,Coc,0
m19,Aka,Har,0
m19,Aka,Hen,0
m19,Aka,Hot,0
m19,Aka,Kil,0
m19,Aka,Kit,0
m19,Aka,Koh,0
m19,Aka,Kol,0
m19,Aka,Kun,0
m19,Aka,Kur,0
m19,Aka,Mal,0
m19,Aka,Mei,0
m19,Aka,Mif,0
m19,Aka,Mik,0
m19,Aka,Ntm,0
m19,Aka,Ntr,0
m19,Aka,Tam,0
m19,Aka,Ten,0
m19,Aka,Tot,0
m19,Aka,Trt,0
m19,Ako,Aka,0.25
m19,Ako,Anz,0.125
m19,Ako,Coc,0
m19,Ako,Har,0
m19,Ako,Hen,0
m19,Ako,Hot,0
m19,Ako,Kil,0
m19,Ako,Kit,0
m19,Ako,Koh,0
m19,Ako,Kol,0
m19,Ako,Kun,0
m19,Ako,Kur,0
m19,Ako,Mal,0
m19,Ako,Mei,0
m19,Ako,Mif,0
m19,Ako,Mik,0
m19,Ako,Ntm,0
m19,Ako,Ntr,0
m19,Ako,Tam,0
m19,Ako,Ten,0
m19,Ako,Tot,0
m19,Ako,Trt,0
m19,Hen,Aka,0
m19,Hen,Ako,0
m19,Hen,Anz,0
m19,Hen,Coc,0
m19,Hen,Har,0
m19,Hen,Hot,0
m19,Hen,Kil,0
m19,Hen,Kit,0
m19,Hen,Koh,0
m19,Hen,Kol,0
m19,Hen,Kun,0
m19,Hen,Kur,0
m19,Hen,Mal,0
m19,Hen,Mei,0
m19,Hen,Mif,0
m19,Hen,Mik,0
m19,Hen,Ntm,0
m19,Hen,Ntr,0
m19,Hen,Tam,0
m19,Hen,Ten,0
m19,Hen,Tot,0
m19,Hen,Trt,0
m19,Hot,Aka,0
m19,Hot,Ako,0
m19,Hot,Anz,0
m19,Hot,Coc,0
m19,Hot,Har,0.5
m19,Hot,Hen,0
m19,Hot,Kil,0
m19,Hot,Kit,0
m19,Hot,Koh,0
m19,Hot,Kol,0
m19,Hot,Kun,0
m19,Hot,Kur,0
m19,Hot,Mal,0
m19,Hot,Mei,0
m19,Hot,Mif,0
m19,Hot,Mik,0
m19,Hot,Ntm,0
m19,Hot,Ntr,0
m19,Hot,Tam,0
m19,Hot,Ten,0
m19,Hot,Tot,0
m19,Hot,Trt,0
m19,Kil,Aka,0
m19,Kil,Ako,0
m19,Kil,Anz,0
m19,Kil,Coc,0.125
m19,Kil,Har,0
m19,Kil,Hen,0
m19,Kil,Hot,0
m19,Kil,Kit,0.5
m19,Kil,Koh,0.25
m19,Kil,Kol,0.125
m19,Kil,Kun,0.125
m19,Kil,Kur,0.25
m19,Kil,Mal,0
m19,Kil,Mei,0
m19,Kil,Mif,0
m19,Kil,Mik,0
m19,Kil,Ntm,0
m19,Kil,Ntr,0
m19,Kil,Tam,0
m19,Kil,Ten,0
m19,Kil,Tot,0
m19,Kil,Trt,0
m19,Kit,Aka,0
m19,Kit,Ako,0
m19,Kit,Anz,0
m19,Kit,Coc,0.0625
m19,Kit,Har,0
m19,Kit,Hen,0
m19,Kit,Hot,0
m19,Kit,Kil,0.5
m19,Kit,Koh,0.125
m19,Kit,Kol,0.0625
m19,Kit,Kun,0.0625
m19,Kit,Kur,0.125
m19,Kit,Mal,0
m19,Kit,Mei,0
m19,Kit,Mif,0
m19,Kit,Mik,0
m19,Kit,Ntm,0
m19,Kit,Ntr,0
m19,Kit,Tam,0
m19,Kit,Ten,0
m19,Kit,Tot,0
m19,Kit,Trt,0
m19,Koh,Aka,0
m19,Koh,Ako,0
m19,Koh,Anz,0
m19,Koh,Coc,0.5
m19,Koh,Har,0
m19,Koh,Hen,0
m19,Koh,Hot,0
m19,Koh,Kil,0.25
m19,Koh,Kit,0.125
m19,Koh,Kol,0.125
m19,Koh,Kun,0.125
m19,Koh,Kur,0.25
m19,Koh,Mal,0
m19,Koh,Mei,0
m19,Koh,Mif,0
m19,Koh,Mik,0
m19,Koh,Ntm,0
m19,Koh,Ntr,0
m19,Koh,Tam,0
m19,Koh,Ten,0
m19,Koh,Tot,0
m19,Koh,Trt,0
m19,Kol,Aka,0
m19,Kol,Ako,0
m19,Kol,Anz,0
m19,Kol,Coc,0.0625
m19,Kol,Har,0
m19,Kol,Hen,0
m19,Kol,Hot,0
m19,Kol,Kil,0.125
m19,Kol,Kit,0.0625
m19,Kol,Koh,0.125
m19,Kol,Kun,0.25
m19,Kol,Kur,0.5
m19,Kol,Mal,0
m19,Kol,Mei,0
m19,Kol,Mif,0
m19,Kol,Mik,0
m19,Kol,Ntm,0
m19,Kol,Ntr,0
m19,Kol,Tam,0
m19,Kol,Ten,0
m19,Kol,Tot,0
m19,Kol,Trt,0
m19,Kun,Aka,0
m19,Kun,Ako,0
m19,Kun,Anz,0
m19,Kun,Coc,0.0625
m19,Kun,Har,0
m19,Kun,Hen,0
m19,Kun,Hot,0
m19,Kun,Kil,0.125
m19,Kun,Kit,0.0625
m19,Kun,Koh,0.125
m19,Kun,Kol,0.25
m19,Kun,Kur,0.5
m19,Kun,Mal,0
m19,Kun,Mei,0
m19,Kun,Mif,0
m19,Kun,Mik,0
m19,Kun,Ntm,0
m19,Kun,Ntr,0
m19,Kun,Tam,0
m19,Kun,Ten,0
m19,Kun,Tot,0
m19,Kun,Trt,0
m19,Kur,Aka,0
m19,Kur,Ako,0
m19,Kur,Anz,0
m19,Kur,Coc,0.125
m19,Kur,Har,0
m19,Kur,Hen,0
m19,Kur,Hot,0
m19,Kur,Kil,0.25
m19,Kur,Kit,0.125
m19,Kur,Koh,0.25
m19,Kur,Kol,0.5
m19,Kur,Kun,0.5
m19,Kur,Mal,0
m19,Kur,Mei,0
m19,Kur,Mif,0
m19,Kur,Mik,0
m19,Kur,Ntm,0
m19,Kur,Ntr,0
m19,Kur,Tam,0
m19,Kur,Ten,0
m19,Kur,Tot,0
m19,Kur,Trt,0
m19,Mal,Aka,0
m19,Mal,Ako,0
m19,Mal,Anz,0
m19,Mal,Coc,0
m19,Mal,Har,0
m19,Mal,Hen,0
m19,Mal,Hot,0
m19,Mal,Kil,0
m19,Mal,Kit,0
m19,Mal,Koh,0
m19,Mal,Kol,0
m19,Mal,Kun,0
m19,Mal,Kur,0
m19,Mal,Mei,0.125
m19,Mal,Mif,0.25
m19,Mal,Mik,0.5
m19,Mal,Ntm,0
m19,Mal,Ntr,0
m19,Mal,Tam,0
m19,Mal,Ten,0
m19,Mal,Tot,0
m19,Mal,Trt,0
m19,Mei,Aka,0
m19,Mei,Ako,0
m19,Mei,Anz,0
m19,Mei,Coc,0
m19,Mei,Har,0
m19,Mei,Hen,0
m19,Mei,Hot,0
m19,Mei,Kil,0
m19,Mei,Kit,0
m19,Mei,Koh,0
m19,Mei,Kol,0
m19,Mei,Kun,0
m19,Mei,Kur,0
m19,Mei,Mal,0.125
m19,Mei,Mif,0.125
m19,Mei,Mik,0.25
m19,Mei,Ntm,0
m19,Mei,Ntr,0
m19,Mei,Tam,0
m19,Mei,Ten,0
m19,Mei,Tot,0
m19,Mei,Trt,0
m19,Mif,Aka,0
m19,Mif,Ako,0
m19,Mif,Anz,0
m19,Mif,Coc,0
m19,Mif,Har,0
m19,Mif,Hen,0
m19,Mif,Hot,0
m19,Mif,Kil,0
m19,Mif,Kit,0
m19,Mif,Koh,0
m19,Mif,Kol,0
m19,Mif,Kun,0
m19,Mif,Kur,0
m19,Mif,Mal,0.25
m19,Mif,Mei,0.125
m19,Mif,Mik,0.5
m19,Mif,Ntm,0
m19,Mif,Ntr,0
m19,Mif,Tam,0
m19,Mif,Ten,0
m19,Mif,Tot,0
m19,Mif,Trt,0
m19,Mik,Aka,0
m19,Mik,Ako,0
m19,Mik,Anz,0
m19,Mik,Coc,0
m19,Mik,Har,0
m19,Mik,Hen,0
m19,Mik,Hot,0
m19,Mik,Kil,0
m19,Mik,Kit,0
m19,Mik,Koh,0
m19,Mik,Kol,0
m19,Mik,Kun,0
m19,Mik,Kur,0
m19,Mik,Mal,0.5
m19,Mik,Mei,0.25
m19,Mik,Mif,0.5
m19,Mik,Ntm,0
m19,Mik,Ntr,0
m19,Mik,Tam,0
m19,Mik,Ten,0
m19,Mik,Tot,0
m19,Mik,Trt,0
m19,Ntr,Aka,0
m19,Ntr,Ako,0
m19,Ntr,Anz,0
m19,Ntr,Coc,0
m19,Ntr,Har,0
m19,Ntr,Hen,0
m19,Ntr,Hot,0
m19,Ntr,Kil,0
m19,Ntr,Kit,0
m19,Ntr,Koh,0
m19,Ntr,Kol,0
m19,Ntr,Kun,0
m19,Ntr,Kur,0
m19,Ntr,Mal,0
m19,Ntr,Mei,0
m19,Ntr,Mif,0
m19,Ntr,Mik,0
m19,Ntr,Ntm,0.5
m19,Ntr,Tam,0
m19,Ntr,Ten,0
m19,Ntr,Tot,0
m19,Ntr,Trt,0
m19,Tam,Aka,0
m19,Tam,Ako,0
m19,Tam,Anz,0
m19,Tam,Coc,0
m19,Tam,Har,0
m19,Tam,Hen,0
m19,Tam,Hot,0
m19,Tam,Kil,0
m19,Tam,Kit,0
m19,Tam,Koh,0
m19,Tam,Kol,0
m19,Tam,Kun,0
m19,Tam,Kur,0
m19,Tam,Mal,0
m19,Tam,Mei,0
m19,Tam,Mif,0
m19,Tam,Mik,0
m19,Tam,Ntm,0
m19,Tam,Ntr,0
m19,Tam,Ten,0
m19,Tam,Tot,0.25
m19,Tam,Trt,0.0625
m19,Ten,Aka,0
m19,Ten,Ako,0
m19,Ten,Anz,0
m19,Ten,Coc,0
m19,Ten,Har,0
m19,Ten,Hen,0
m19,Ten,Hot,0
m19,Ten,Kil,0
m19,Ten,Kit,0
m19,Ten,Koh,0
m19,Ten,Kol,0
m19,Ten,Kun,0
m19,Ten,Kur,0
m19,Ten,Mal,0
m19,Ten,Mei,0
m19,Ten,Mif,0
m19,Ten,Mik,0
m19,Ten,Ntm,0
m19,Ten,Ntr,0
m19,Ten,Tam,0
m19,Ten,Tot,0
m19,Ten,Trt,0
m19,Tot,Aka,0
m19,Tot,Ako,0
m19,Tot,Anz,0
m19,Tot,Coc,0
m19,Tot,Har,0
m19,Tot,Hen,0
m19,Tot,Hot,0
m19,Tot,Kil,0
m19,Tot,Kit,0
m19,Tot,Koh,0
m19,Tot,Kol,0
m19,Tot,Kun,0
m19,Tot,Kur,0
m19,Tot,Mal,0
m19,Tot,Mei,0
m19,Tot,Mif,0
m19,Tot,Mik,0
m19,Tot,Ntm,0
m19,Tot,Ntr,0
m19,Tot,Tam,0.25
m19,Tot,Ten,0
